sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
70,231,70,"Govt. Middle School,  Saravilai,
,  Main  Building, Western Portion","1. Simon colony (R.V), Simoncolony (P) Block 3,
Vaniyakudi Middle Part, 2.simon colony (R.V), Simoncolony
(P) Block 10,  Vaniyakudi West, 3.Simoncolony (R.V), Simoncolony (P) Block 3, Vaniyakudi West ,99.OVERSEAS ELECTORS",All Voters
71,231,71,"St. Ignatious Higher Secondary School, Kurumpanai , South Building,  Central Portion","1.Simon Colony (R.V), Simoncolony (P) Block 1, Kurumbani West  2. Simoncolony (R.V), Simon Colony (P) Block 1,  Kurumpanai West, 99.OVERSEAS ELECTORS",All Voters
72,231,72,"St. Ignatious Higher Secondary School, Kurumpana, Main Building Center East  Portion.","1. Simon Colony (R.V), Simon Colony (P) Block 12, Kurumpani South             2.Simon colony (R,V), Simon colony (P) Block 12,  Kurumpanai south,               3. Simon colony (R.V), Simon Colony (P) Tsunami Temporary Shed ,
99OVERSEAS ELECTORS",All Voters
73,231,73,"St. Ignatious Primary School Kurumpanai , ,South Building, Central Portion","1. Simoncolony (R.V), Simoncolony (P) Block 11, Kurumpanai North, 2. Simoncolony (R.V), Simoncolony (P) Block 11, Kurumpani North, 99.OVERSEAS ELECTORS",All Voters
74,231,74,"St. James High School, Vaniyakudi  ,,   ,Main  Building, Western  Portion","1. Simon colony (R.V), Simoncolony (P) Block 3,
Vaniyakudi Middle Part, 2.simon colony (R.V), Simoncolony
(P) Block 10,  Vaniyakudi West, 3.Simoncolony (R.V), Simoncolony (P) Block 3, Vaniyakudi West ,99.OVERSEAS ELECTORS",All Voters
75,231,75,"St. James High School, Vaniyakudi ,,   Main Building, Middle Portion","1. Simoncolony (R.V), Simoncolony (P) Block 2, Vaniyakudi
East, 2.Simoncolony (R.V), Simoncolony (P) Block 10, 12 Vaniyakudi South, 3.Simon colony (R.V), Simoncolony (P) Tsunami  Temporary Shed 1, 4, Simoncolony (R.V), Simoncolony (P) Block 2,  Vaniyakudi East , 99.OVERSEAS ELECTORS",All Voters
76,231,76,"St. James High School, Vaniyakudi, Main Building, Central Portion","1. Simon colony (R.V), Simon Colony (P) Block 9,
Vaniyakudi North ,              2. Simon colony (R.V), Simon Colony (P) Tsunami Temporary Shed 2               3. Simon colony (R.V), Simon colony (P) Tsunami Temporary  Shed 3
, 99.OVERSEAS ELECTORS",All Voters
77,231,77,"St. Michels Primary School Kodimunai ,  ,West Building, Southern  Portion","1. Simoncolony (R.V), Simoncolony (P) Ward 4, Block 5,
Kodimunai  East, 2.Simoncolony (R.V) Simoncolony (P) Block 13, Tsunami Temporary Shed, 3.Simoncolony (R.V), Simon Colony (P) Block 4, Kodimunai East , 99.OVERSEAS ELECTORS",All Voters
78,231,78,"St. Michels Primary School Kodimunai , West Building, Middle Portion","1 Simoncolony (R.V), Simoncolony (P) Block 5, Kodimunai
East, 2.Simoncolony (R.V), Simoncolony (P) Block 7, Kodimunai Middle Part,  3.Simoncolony (R.V), Simoncolony
(P) Ward 4, Block 8, Kodimunai Naduvoor, 99.OVERSEAS
ELECTORS",All Voters
79,231,79,"St. Michels Primary School Kodimunai , ,West Building. Northern Portion","1. Simoncolony (R.V), Simon Colony (P) Block 4, Kodimunai South, 2.Simoncolony (R.V),  Simoncolony (P) Ward 4,  Block 7, Kodimunai Kovil Street, 3.Simoncolony ( R.V ),  Simoncolony ( P ) Block 8,  Kodimunai West,
99.OVERSEAS ELECTORS",All Voters
80,231,80,"St. Michels Primary School,
Kodimunai, South Main Building,  Western Portion","1. simon colony( R.V ), Saimon Colony ( P ) Block  4, Kodimunai North , 99.OVERSEAS ELECTORS",All Voters
81,231,81,"Office of the A. D. Fisheries, Simoncolony , New Building, Eastern side, Eastern  Portion","1. Simoncolony (R.V), Simoncolony (P) Block 6, Simoncolony East, 2.Simoncolony (R.V), Simoncolony (P) Block 6, Simoncolony  East , 99.OVERSEAS ELECTORS",All Voters
82,231,82,"Office of the A. D.Fisheries,
Simoncolony, Colachel,, Colachel, North Building, Western  Portion","1. simon colony( R.V ) , Simon Colony ( P ) Block 6, Simon Colony East ,99.OVERSEAS ELECTORS",All Voters
83,231,83,"Office of the A. D.Fisheries, Simoncolony , ,New Building, Eastern Side, Middle Portion","1. Simoncolony (R.V), Simoncolony (P) Block 13, Simoncolony West, 2.Simoncolony (R.V), Simoncolony (P) Tsunami Tempoury Shed, 3.Simoncolony (R.V), Simoncolony (P) Ward 4, Block 13, Simoncolony, 4.Simoncolony (R.V), Simoncolony (P) Block 13, Simoncolony West, 5.Simoncolony (R.V), Simoncolony (P)
Tsunami  Tempoury Shed, West, 99.OVERSEAS ELECTORS",All Voters
84,231,84,"St Marys Primary School,
Colachel, South Building, Eastern Portion","1.Colachel-A (R.V) , Colachel ( M ) Block 10 Port street
No.4,3   2.Colachel-A (R.V) , Colachel ( M ) Block 13, Harbour Street No  2 ,99.OVERSEAS ELECTORS",All Voters
85,231,85,"St Marys Primary School,
Colachel, , , New South Building Central portion","1.Colachel-A ( R.V ) , Colachel ( M ) Block 15,  Harbour
Street No 3 , 2.Colachel-A ( R.V ) , Colachel ( M ) Block 15, Ezhakanivilai , 99.OVERSEAS ELECTORS",All Voters
86,231,86,"Noon Meal Centre, Yesudhas Colony, Maramady, Colachel, Main Building Southern portion","1.Colachel-A ( R.V ) , Colachel ( M ) Block 8 , 9,  Maramadi
, 2.Colachel-A ( R.V ) , Colachel ( M ) Tsunami  Shed, Maramadi ,  99.OVERSEAS ELECTORS",All Voters
87,231,87,"Municipal Office, Colachel, , Western  Building, Middle Portion","1.Colachel-A ( R.V ) , Colachel ( M ) Block 16, Kalimar ,
2.Colachel-A ( R.V ) , Colachel ( M ) Block 16,  Vaikal Street , 3.Colachel-A ( R.V ) , Colachel ( M ) Block 16, Neravu vilai , 4.Colachel-A (R.V) , Colachel ( M ) Block 16, Market Road, Main Road , 5.Colachel-A (R.V) , Colachel ( M ) Block 16 Beach Road , 6.Colachel-A ( R.V ) , Colachel ( M ) Block 21, P.S Puram, Main Road , 7.Colachel-A ( R.V ) , Colachel ( M ) Block 21, Kavadi Vilai,  Mohideen Palli  Street , 99.OVERSEAS ELECTORS",All Voters
88,231,88,"St. Marys Higher
Secondary School Colachel, , , West Building, Southern Portion","1.Colachel-A ( R.V ) , Colachel ( M ) Ward 20 , Block 20, Pandakasalaipuram , 99.OVERSEAS ELECTORS",All Voters
89,231,89,"St. Marys Primary School, Colachel,, South Building, Middle Portion","1.Colachel-A ( R.V ) , Colachel ( M ) Block 11,12,  Harbour
Street First , 2.Colachel-A ( R.V ) , Colachel ( M ) Block 11,12,  Harbour Street Second , 3.Colachel-A ( R.V ) , Colachel ( M ) Tsunami Shed Harbour Street
,99.OVERSEAS ELECTORS",All Voters
90,231,90,"St. Marys Primary School, Colachel, , , Main Building, Middle Portion","1.Colachel-A ( R.V ) , Colachel ( M ) Block 11, Harbour
Street Fourth , 2.Colachel-A ( R.V ) , Colachel ( M ) Block 14, Harbour Street 1, 2 , 3.Colachel-A ( R.V ) , Colachel ( M
) Block 10,  Harbour Street 3, 4 , 4.Colachel-A (R.V) ,
Colachel ( M ) Tsunami Shed Harbour Street , 99.OVERSEAS ELECTORS",All Voters
91,231,91,"St. Marys Primary School, Colachel,, Main Terraced Building, Southern  Portion","1.Colachel-A ( R.V ) , Colachel ( M ) Ward 14, Block 14, Harbour Street First , 2.Colachel-A ( R.V ) , Colachel ( M ) Ward 12,13,  Block 12, Harbour Street 1, 2 , 3.Colachel-A ( R.V ) , Colachel ( M ) Ward  9, 10, Block  9,  Harbour Street 4 , 3 , 4.Colachel-A ( R.V ) , Colachel ( M ) Tsunami Shed Harbour Street , 99.OVERSEAS ELECTORS",All Voters
92,231,92,"St. Annis Primary School,
Kalimar , North  Building, Eastern  Portion","1. Colachel A (R.V), Colachel (M) Ward 15,  Block  15, Matha Colony ,99.OVERSEAS ELECTORS",All Voters
93,231,93,"St. Annis Primary School,
Kalimar ,  ,North  Teraced Building, facing South, West middle  Portion","1. Colachel A (R.V), Colachel (M) Ward 18,  Block,  15, 17, 18 Ezhakanivilai, 99.OVERSEAS ELECTORS",All Voters
94,231,94,"St. Annis Primary School, Kalimar,, Northern Building, Central Eastern  Portion","1.Colachel-A ( R.V ) , Colachel ( M ) Ward 17, Block 17 Kaniyakudi , 2.Colachel-A ( R.V ) , Colachel ( M ) Ward 18, Block  16 , 17  Vaikkal Street , Colachel , 3.Colachel-A ( R.V ) , Colachel ( M ) Ward 17, Block  16 , 17 Pallivilagam , Narikalroad , 4.Colachel-A ( R.V ) , Colachel ( M ) Ward 16, Block  16,  Beach Road , 99.OVERSEAS ELECTORS",All Voters
95,231,95,"U.E.M. Children Developement Program Building Kottilpadu,, North Building, Western  Portion","1.Colachel-B ( R.V ) , Colachel ( M ) Ward 5, Block 5,
Kottilpadu , 2.Colachel-B ( R.V ) , Colachel ( M ) Block 5, Kottilpadu Tsunami Temporury Shed , 99.OVERSEAS ELECTORS",All Voters
96,231,96,"U.E.M. Children Developement Program North Building
Kottilpadu, , North Building Eastern Portion","1.Colachel- B ( R.V ), Colachel ( M ) Ward 6, Block 6, Kottilpadu , 2.Colachel-B ( R.V ) , Colachel ( M ) Ward 7, Block 6, Joseph Benadit Colony , 3.Colachel-B ( R.V ) , Colachel ( M ) Ward 7, Block  7, Anthonyar Colony , 4.Colachel-B ( R.V ) , Colachel ( M ) Ward 7, Block 7,Periyanayaki Colony , 5.Colachel-B ( r.v)  , colachel ( m ) Ward 7, Block  8 Singaravelar Colony, Indhira Colony , 6.Colachel-B ( R.V)  , Colachel ( M ) Tsunami Temporury Shed Kottilpadu, Singaravelar , 99.OVERSEAS ELECTORS",All Voters
97,231,97,"U.E.M.Children Developement Program Building Kottilpadu,, South Building, Southern Portion","1.Colachel-B ( R.V ) , Colachel ( M ) Ward 7, Block  7,
Harbour , 2.Colachel-B ( R.V ) , Colachel ( M ) Ward 7, Block 9,  Sambasivapuram , 3.Colachel-B (R.V) , Colachel ( M ) Ward  7,8,  Block  8, 9,  Maramadi , 99.OVERSEAS ELECTORS",All Voters
98,231,98,"VKP Higher Secondary School, Colachel,,  East Tiled Building, Facing West, South portion","1.Colachel B (R.V), Colachel (M) Ward 1, Block 1, South-
Kalliadaiphu, 2.Colachel B (R.V), Colachel (M) Ward 1, Block 1, Sasthankarai, 3.Colachel B  (R.V), Colachel (M) Ward 1, Block 1, Poundary Road, 4.Colachel B (R.V), Colachel (M) Ward 1, Block 1,Nadu-Kalliyadaippu,
5.Colachel B (R.V), Colachel (M) Ward 1, Block 1, Telephone Exchange Road, 6.Colachel B (R.V), Colachel (M) Ward 23, Block 2, Velliyakulankarai, 99.OVERSEAS
ELECTORS",All Voters
99,231,99,"VKP Higher Secondary School, Colachel,, East Tiled Building, Facing West, North portion","1.Colachel B (R.V), Colachel (M) Ward 1, Block  2,
Madanavilai , 2.Colachel B (R.V), Colachel (M) Ward 2, Block 2, Thiruvalluvar Street, 3.Colachel B (R.V), Colachel
(M) Ward 17, Block 17, Pookuzhi, 4.Colachel B (R.V) Colachel (M) Ward 23, Block 23, Sasthankarai,
99.OVERSEAS ELECTORS",All Voters
100,231,100,"Govt. High School, Colachel,
Elappavilai,  , ,  Main Building, Eastern Portion","1.Colachel-B ( R.V ) , Colachel ( M ) Ward 2, Block 2, Parnattivilai ,  99.OVERSEAS ELECTORS",All Voters
101,231,101,"Govt. High School, Colachel, Elappavilai, ,  New Building, North Portion","I)Colachel-B ( R.V ) , Colachel ( M ) Ward 2, Block 3,
Thumpakadu , 2).Colachel-B ( R.V )  , Colachel ( M ) Ward 3, Block 3,  Chekkala Street, Seempelivilai , 99.OVERSEAS ELECTORS",All Voters
102,231,102,"Govt. High School,Elappavilai Colachel ,  Main Building, Middle Portion","1. Colachel B (R.V), Colachel (M) Block 22, 23, Nesavalar
South Street , 2.Colachel B (R.V), Colachel (M) Block 22, 23 Nesavalar North Street, 3.Colachel B (R.V), Colachel (M) Block 22,  Neravu Vilai, 4.Colachel B (R.V), Colachel (M) Block 22, Neravu Vilai, 5.Colachel B (R.V), Colachel (M) Block 22, 23,  Nesavalar North Street, 6.Colachel B (R.V), Colachel (M) Block 22, 23, Nesavalar South Street,
7.Colachel B (R.V), Colachel (M) Block 23, Green Street,
99.OVERSEAS ELECTORS",All Voters
103,231,103,"Govt. Govt. High School, Elappavilai Colachel ,  Main Building, Middle Portion","1. Colachel-B (R.V), Colachel (M) Block 23, Mohideen Palli
Road, 2.Colachel-B (R.V) Colachel (M) Block 5,  Andipillai Street, 3.Colachel-B (R.V), Colachel (M) Block 4, Chetti Street, First Street, 4.Colachel-B (R.V), Colachel (M) Block 5, Chetti Street, Second Street, 5.Colachel-B (R.V), Colachel
(M) Block 23, Beeach Junction, 6.Colachel-B (R.V), Colachel (M) Block 4, Chetti First Street, 7.Colachel-B (R.V), Colachel (M) Block 5, Chetti Street Second Street, 8.Colachel-B (R.V), Colachel (M) Block 5,  Mela Street, 9.Colachel-B (R.V), Colachel (M) Block 4,  Andipillai Street, 10.Colachel-B (R.V), Colachel (M) Block 5, Palli Road, 11.Colachel-B (R.V), Colachel (M) Block 3, Chekkala Street,
99.OVERSEAS ELECTORS",All Voters
104,231,104,"Govt.High School, Elappavilai, , New  Building, Western  Portion","1.Colachel-B ( R.V ) , Colachel ( M ) Ward 22 , Block  21, 22, Elappavilai , 2.Colachel-B ( R.V ) , Colachel ( M ) Ward 22,  Block  21, 22, Palliroad , 99.OVERSEAS ELECTORS",All Voters
105,231,105,"V.K.P. Higher Secondary School
Colachel,, North-West Teraced Building, Facing East,South Portion","1. Colachel B (R.V), Colachel (M) Ward 3, Block 3, Sanathy Street, 99.OVERSEAS ELECTORS",All Voters
106,231,106,"V.K.P. Higher Secondary School
Colachel,, North-West Teraced Building, Facing East, North Portion","1. Colachel B (R.V) Colachel (M) Ward  4,  Block  3, 4, Asarimar Street, Combanvilagam, 99.OVERSEAS ELECTORS",All Voters
107,231,107,"Govt. Girls Primary School Colachel, Chekkalatheru ,, ,Main Building,Eastern Portion","1. Part No. 102 Colachel B (R.V),  Colachel  (M) Ward 4, Block 3, Asath Nagar, 4 Malikka Kinaru, (From Sl. No.1 to 890)      99.OVERSEAS ELECTORS",All Voters
108,231,108,"Govt. Girls Primary School Colachel, Chekkalatheru ,, ,Main Building, Middle Portion","1. Part No. 103 Colachel B (R.V), Colachel  (M) Ward 4, Block 3, Asath Nagar, 4 Malikka Kinaru, (From Sl. No.1 to 893) 99.OVERSEAS ELECTORS",All Voters
109,231,109,"Govt. High School, Elappavilai
Colachel. , . East terraced Building, facing North, West middle Portion","1. Colachel B (R.V), Colachel  (M) Ward 4,  Block 3, Asath
Nagar, 4 Malikka Kinaru, (Part No 102, Sl. No.891 to 1349 and  Part No. 103  Sl. No.894 to 1298) 99.OVERSEAS ELECTORS",All Voters
110,231,110,"Govt. Primary School, Sasthankarai, , Main Building, Southern Portion","1.Colachel-A ( R.V ) , Colachel ( M ) Ward 23 , Block 23,
Sasthankarai Road , 2.Colachel-A ( R.V ) , Colachel ( M ) Ward 24,   Block 24,   Narikal Road , 3.Colachel-A ( R.V ) , Colachel ( M ) Ward 24 , Block 23,   Pullen Vilai , 4.Colachel-A ( R.V ) , Colachel ( M ) Ward 24 , Block  24, Main Road , 99.OVERSEAS ELECTORS",All Voters
111,231,111,"Govt. Primary School, Chemponvilai ,  Main Terraced Building Eastern Portion","1. Chemponvilai (R.V), Neyyoor (T.P) Ward 12, Block 15, Mathamparavilai 2.Chemponvilai (R.V), Neyyoor (T.P) Ward 15, Block 18, Olacode West, 99.OVERSEAS ELECTORS",All Voters
112,231,112,"Govt. Primary School, Chemponvilai,  Main Building, Eastern Portion","1.l Reethapuram( R.V ), Reethapuram ( T.P ) Block 11,
Avaravilai , 2.Reethapuram ( R.V ), Reethapuram ( T.P ) Block 11, Manthi Vilai , 3.Reethapuram ( R.V ), Reethapuram ( T.P ) Block 11, North Sevilai , 4.Reethapuram ( R.V ), Reethapuram ( T.P ) Block 11,  Thozhikadai , 5.Reethapuram ( R.V ), Reethapuram ( T. P ) Block 11, Sevilai , 6.Reethapuram ( R.V ) Reethapuram ( T.P ) Block 11,  Neduvilai , 99.OVERSEAS ELECTORS",All Voters
113,231,113,"Govt. Primary School, Chemponvilai,  Main Building, Western Portion","1.Reethepuram ( R.V ), Reethapuram ( T.P ) Block 12,
Kunnenvilai , 2.Reethepuram ( R.V ), Reethapuram ( T.P  ) Block 12,  Sevilai , 3.Reethepuram  ( R.V ), Reethapuram ( T.P ) Block 12, Kannankottai , 4.Reethepuram (R.V ), Reethapuram ( T.P ) Block 12,  Patharai ,99OVERSEAS ELECTORS",All Voters
114,231,114,"Govt. Primary School,
Chemponvilai ,  Western Building West Portion","1.Reethepuram ( R.V ),  Reethapuram ( T.P ) Block 15,
Chemponvilai , 2.Reethepuram ( R.V ), Reethapuram ( T.P ) Block 15, Plankarai, 99.OVERSEAS ELECTORS",All Voters
115,231,115,"Govt. Primary Schhool, Chemponvilai, ,  West Building,
Middle Portion","1.Chemponvilai ( R.V ), Neyyoor ( T.P ) Ward 11, Block 13, Varathan Vilai , 99.OVERSEAS ELECTORS",All Voters
116,231,116,"Govt. Primary School,
Chemponvilai, ,  West Building, Southern  Portion","Chemponvilai( R.V ), Neyyoor ( T.P ) Ward 12, Block 14, Senamvilai, 99.OVERSEAS ELECTORS",All Voters
117,231,117,"Govt. Primary School, Chemponvilai, , Main Terraced Building, East Portion 629803","1.  Chemponvilai ( R.V ),  Neyyoor ( T.P ) Ward 12, Block
15, Mathamparavilai ,
2.Chemponvilai ( R.V ), Neyyoor ( T.P ) Ward 15, Block 18, Olacode West
99.OVERSEAS ELECTORS",All Voters
118,231,118,"Govt. Primary School, Chemponvilai ,, ,Main Terraced Building Western portion","1.Chemponvilai (R.V), Neyyoor (T.P) Ward 14, Block 16,
Mathamparavilai, 2.Chemponvilai (R.V), Neyyoor (T.P) Ward 15, Block 17, Olacode East,  99.OVERSEAS ELECTORS",All Voters
119,231,119,"Arockia Annai Middle School,
Palayam, , Terraced Western Building, North Portion","1.Neyoor ( r.v.), neyoor ( t.p.) Block 9, palayam , 99.OVERSEAS ELECTORS",All Voters
120,231,120,"M.M.Higher Secondary School Bethelpuram , Northern South Terraced Building Middle portion","1. Chemponvilai (R.V.), Neyoor (T.P.) Ward 10,  Block 10, Iyyamparavilai, 99.OVERSEAS ELECTORS",All Voters
121,231,121,"M.M.Higher Secondary School Bethelpuram , South-East Terraced Building, Facing West, South Middle portion","1. Chemponvilai (R.V.), Neyoor (T.P.) Ward 10, 11, Block
10, 12, Varathanvilai, 99.OVERSEAS ELECTORS",All Voters
122,231,122,"Govt. Primary School, Elangam
,, ,Main Building, Middle Portion","1. Kallukootam( R.V.) Kallukootam (T.P) Ward 18, Block
10, Bethelpuram, 2.Kallukootam (R.V), Kallukootam (T.P.) Ward 18, Block 10, Neyyoor Mekenkarai, 3.Kallukootam (R.V.),  Kallukootam (T.P.) Ward 18, Block 10, Koottuvilai, 99.OVERSEAS ELECTORS",All Voters
123,231,123,"Govt. Primary School, Elangam,
, , Main Terraced Building, Facing South, Western Portion","1. Kallukootam (R.V.), Kallukootam (T. P.) Ward 18, Block
11, West Neyyoor, 2.Kallukootam (R.V.), Kallukootam (T. P.) Ward 12, Block 14, Themparavilai, 3.Kallukootam (R.V.), Kallukootam (T. P.) Ward 18, Block 14, Saral, 99.OVERSEAS ELECTORS",All Voters
124,231,124,"Govt. Primary School, Oottukuzhi,, , Main Building, Middle Portion","1.  Kallukootam( R.V ) , Kallukootam ( T. P ) Ward 14,
Block 18, North Kallukootam , 2.Kallukootam ( R.V ) , Kallukootam ( T. P ) Ward 14, Block 18, Arugan Kotta Vilai
, 99.OVERSEAS ELECTORS",All Voters
125,231,125,"Govt. Primary School, Oottukuzhi, , Main Building, Eastern Portion","1.  Kallukootam( R.V ) , Kallukootam ( T.P ) Ward 14, Block 19, Periyapalli , 2.  Kallukootam( R.V) , Kallukootam ( T. P ) Ward 17, Block 19, Nediyangcode , 3. Kallukootam ( R.V ) , Kallukootam ( T. P ) Ward 17, Block 19, Oothukuzhi , 4.Kallukootam ( R.V ) , Kallukootam ( T. P ) Ward 17, Block 19, Iyanparavilai , 99.OVERSEAS ELECTORS",All Voters
126,231,126,"Govt. Primary School, Pilacode,,
, Main Building, Middle Portion","1.Neyoor ( R.V ) , Kallukootam ( T.P ) Block 20,
Vettukattuvilai ,  2.Neyoor ( R.V ) , Kallukootam ( T.P ) Block 21, Kattu Vilai , 99.OVERSEAS ELECTORS",All Voters
127,231,127,"Govt. Primary School, Pilacode,,
, Main Building, West Portion","1.Neyoor ( R.V ) , Kallukootam ( T. P ) Block 20, Pilacode , 99.OVERSEAS ELECTORS",All Voters
128,231,128,"L. M.S.Girls Higher Secondary School,  Neyyoor, ,, , ,Main Building , Middle Portion","1. Neyoor (R.V.), Neyyoor (T.P.) Block 5, Neyyoor Christava Ward East, 2.Neyoor (R.V.), Neyyoor (T.P.) Block 6, Neyyoor Christhava Ward, 99.OVERSEAS ELECTORS",All Voters
129,231,129,"L. M.S.Girls Higher Secondary School,  Neyyoor, ,   South - West Terraced building, facing North, Western Portion","1. Neyoor (R.V.), Neyyoor (T.P.) Block 7, Neyyoor Christhava Ward, 99.OVERSEAS ELECTORS",All Voters
130,231,130,"St. Marys Primary School,
Murasancode, , North  Building, Eastern Portion","1.Neyoor ( R.V.), Neyyoor ( T.P.) Block 1, Alancode , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS",All Voters
131,231,131,"St. Marys Primary School,
Murasancode   ,, ,North Building, Western  Portion","1. Neyoor (R.V.), Neyyoor ( T.P) Block 2, Kokkodu, 99.OVERSEAS ELECTORS",All Voters
132,231,132,"St. Marys Primary School,
Murasancode  ,   South Terraced building, facing North, middle Portion","1. Neyoor  (R.V.), Neyyoor (T.P) Block 4, Mursancode, 99.OVERSEAS ELECTORS",All Voters
133,231,133,"Arockia Annai Middle School,
Palayam,  West Terraced Building, South Portion, Facing East","1.Neyoor (R.V.),  Neyyoor (T.P.) Block 3, Saralvilai, 99.OVERSEAS ELECTORS",All Voters
134,231,134,"Anganvadi center,Murasancode, New Building, North portion","1.Neyoor (R.V) , Neyyoor (T.P) A Block 8, Elanthavilai , 99.OVERSEAS ELECTORS",All Voters
135,231,135,"Govt. Middle School, Kallukoottam,,  Main Building, Middle Portion","1.Neyoor ( R.V ) , Kallukootam (  T.P ) Ward 9, Block 13, Sirayanvilai , 2.Neyoor ( R.V ) , Kallukootam ( T. P ) Ward 9, Block 13, Udaiyar Vilai , 3.Neyoor ( R.V ) , Kallukootam ( T. P ) Ward 9, Block 13, Udayar Vilai , 99.OVERSEAS
ELECTORS",All Voters
136,231,136,"Govt. Middle School, Kallukoottam, , Main Building, Southern  Portion. Pin 629808","1. Kallukootam( R.V ) , Kallukootam ( T. P ) Block 15,
Udayar Vilai , 2. Kallukootam ( R.V ) , Kallukootam ( T. P ) Block 15, Lekshmipuram , 3 Kallukootam ( R.V ) , Kallukootam ( T. P ) Block 15, Sevidan Vilai ,  6.
Kallukootam ( R.V ) , Kallukootam ( T. P ) Block 15, Kunchakurupuvilai , 7. Kallukootam ( R.V) , Kallukootam ( T. P ) Block 15, Vempadi Vilai , 8. Kallukootam ( R.V ) , Kallukootam ( T.P ) Block 15, Aadinar Vilai ,
99.OVERSEAS ELECTORS",All Voters
137,231,137,"Govt. Middle School,
Kallukoottam, , , Main Building, Central Eastern West Terraced Building, Eastern Portion Pin 629802","1 Kallukootam ( R.V ) Kallukootam ( T. P ) Block 16,
Kadukavilai , 2. Kallukootam ( R.V ) , Kallukootam ( T.P ) Block 16, Sampaiyen Vilai , 3. Kallukootam ( R.V ) , Kallukootam ( T. P ) Block 16, Pillai Vilai , 99.OVERSEAS ELECTORS",All Voters
138,231,138,"Govt. Middle School, Kallukoottam,, Main Building, Western Portion. Pin 629808","1. Kallukootam( R.V ) , Kallukootam ( T. P ) Block 17,
Thoothukuzhivilai , 2.Kallukootam ( R.V ) , Kallukootam ( T. P ) Block 17, Mela Pillavilai , 3.Kallukootam ( R.V ) , Kallukootam ( T. P ) Block 17, Lekshmipuram , 4.Kallukootam ( R.V ) , Kallukootam ( T.P ) Block 17, Temparavilai , 5. Kallukootam ( R.V ) , Kallukootam ( T. P ) Block 17, Karavilai , 6.Kallukootam  Kallukootam  ( R.V ) , Kallukootam ( T. P ) Block 17, West Kallukootam , 7.Kallukootam  ( R.V ) , Kallukootam ( T. P ) Block 17, Vempon Vilai , 8.Kallukootam  ( R.V ) , Kallukootam ( T. P ) Block 17, Ottumavilai , 9.Kallukootam  ( R.V ) , Kallukootam ( T. P ) Block 17, Kuruppu Vilai , 10.Kallukootam  ( R.V ) , Kallukootam ( T. P ) Block 17, Kallukootam ,  99.OVERSEAS ELECTORS",All Voters
139,231,139,"R.C. Higher Secondary School,
Konamkadu ,, u ,South  West Terraced Building,  Southern Portion","1. Kallukootam (R.V), Kallukootam (T.P) Block 1,
Chemponvilai, 2.Kallukootam (R.V), Kallukootam (T.P) Block 1, Anjaale, 3.Kallukootam (R.V), Kallukootam (T.P) Block 12, Anjaale, 99.OVERSEAS ELECTORS",All Voters
140,231,140,"R.C. Higher Secondary School,Konamkadu ,, South West Terraced  Building, Middle Portion","1. Kallukootam (R.V), Kallukootam (T.P) Block 4, Near
V.K.P.School, 2.Kallukootam (R.V), Kallukootam (T.P) Block 4, ValiyamarthandanVilai, 3.Kallukootam (R.V), Kallukootam (T.P) Block 4, Parnamuri,  4.Kallukootam ( R.V.), Kallukootam (T.P) Block 12, Saral,   99.OVERSEAS ELECTORS",All Voters
141,231,141,"R.C. Higher Secondary School, Konamkadu ,  South West Terraced  Building South Portion","1. Kallukootam (R.V), Kallukootam (T.P) Block 4, Konamkadu, 2.Kallukootam (R.V), Kallukootam (T.P) Block 4, Poolavilai, 3.Kallukootam (R.V), Kallukootam (T.P) Block 4, Udhiyarvilai, 4.Kallukootam (R.V), Kallukootam (T.P) Block 4,  Udaiyar Vilai, 99.OVERSEAS ELECTORS",All Voters
142,231,142,"R.C. Higher Secondary School,
Konamkadu, , North West Terraced Building,  Northern Portion","1.Kallukootam (R.V ),  Kallukootam ( T.P ) Block 1,
Mekinkarai, West Neyyoor , 2.Kallukootam  (R.V), Kallukootam ( T.P ) Block 2,  Konamkadu, Kulapadu , 99.OVERSEAS ELECTORS",All Voters
143,231,143,"Devasam Higher Secondary School, Mondaikadu ,  West Terraced  Building, South Middle  Portion","1.Lekshmipuram (R.V), Kallukootam (T.P) Block 5,
Mondaikadu Puthoor, 2.Lekshmipuram (R.V), Kallukootam (T.P) Sunami Temporary Shed (1), 3.Lekshmipuram (R.V), Kallukootam (T.P) Sunami Temporary Shed (2), 99.OVERSEAS ELECTORS",All Voters
144,231,144,"Devasam Higher Secondary
School, Mondaikadu , West Terraced  Building,  South Portion","1.Lekshmipuram (R.V), Kallukootam (T.P) Block 9,  Kootha Vilai, (Sl. No.1 to 1077), 99.OVERSEAS ELECTORS",All Voters
145,231,145,"Devasam Higher Secondary School, Mondaikadu ,  South Building,  Western  Portion","1. Lekshmipuram (R.V.), Kallukoottam (T. P.) Block 6,
(Mandaikadu) Karavilai ,2.Lekshmipuram (R.V.), Kallukoottam (T. P.) Block 6, 7, Vettumadai  99.OVERSEAS ELECTORS",All Voters
146,231,146,"Devasam Higher Secondary
School, Mondaikadu , West terraced Building,   facing East, North middle  Portion","1. Lekshmipuram (R.V), Kallukootam (T. P.) Block 7, Kariyavilai, East Parithivilai, Lekshmipuram, 99.OVERSEAS ELECTORS",All Voters
